"UniqueID","Pplr.fctr","Pplr.fctr.All.X..rcv.glmnet.prob","Pplr.fctr.All.X..rcv.glmnet","Pplr.fctr.All.X..rcv.glmnet.err","Pplr.fctr.All.X..rcv.glmnet.err.abs","Pplr.fctr.All.X..rcv.glmnet.is.acc"
38,"N",0.176852508581879,"Y",TRUE,0.176852508581879,FALSE
150,"N",0.138499900495224,"Y",TRUE,0.138499900495224,FALSE
183,"N",0.0746809021380948,"N",FALSE,0.0746809021380948,TRUE
194,"N",0.135565832808604,"Y",TRUE,0.135565832808604,FALSE
233,"N",0.155981209858144,"Y",TRUE,0.155981209858144,FALSE
346,"N",0.138630770270843,"Y",TRUE,0.138630770270843,FALSE
526,"N",0.0778850536207006,"N",FALSE,0.0778850536207006,TRUE
819,"N",0.0730839117396593,"N",FALSE,0.0730839117396593,TRUE
849,"N",0.0817819476444419,"N",FALSE,0.0817819476444419,TRUE
850,"N",0.112588554601606,"Y",TRUE,0.112588554601606,FALSE
867,"N",0.0844711273213273,"N",FALSE,0.0844711273213273,TRUE
946,"N",0.224540959775908,"Y",TRUE,0.224540959775908,FALSE
962,"N",0.1963108026833,"Y",TRUE,0.1963108026833,FALSE
995,"N",0.104626685231789,"Y",TRUE,0.104626685231789,FALSE
1048,"N",0.118273279725897,"Y",TRUE,0.118273279725897,FALSE
1127,"N",0.145127931154166,"Y",TRUE,0.145127931154166,FALSE
1129,"N",0.0786865303786509,"N",FALSE,0.0786865303786509,TRUE
1177,"N",0.179295060649408,"Y",TRUE,0.179295060649408,FALSE
1355,"N",0.161164877483615,"Y",TRUE,0.161164877483615,FALSE
1459,"N",0.121113891070281,"Y",TRUE,0.121113891070281,FALSE
1461,"N",0.114061921510482,"Y",TRUE,0.114061921510482,FALSE
1463,"N",0.121982329856242,"Y",TRUE,0.121982329856242,FALSE
1490,"N",0.108557678997469,"Y",TRUE,0.108557678997469,FALSE
1499,"N",0.0909002778532026,"N",FALSE,0.0909002778532026,TRUE
1511,"N",0.0730549136545108,"N",FALSE,0.0730549136545108,TRUE
1530,"N",0.078295355345702,"N",FALSE,0.078295355345702,TRUE
1533,"N",0.0900384991788371,"N",FALSE,0.0900384991788371,TRUE
1551,"N",0.0768188810325059,"N",FALSE,0.0768188810325059,TRUE
1565,"N",0.107906948756881,"Y",TRUE,0.107906948756881,FALSE
1617,"N",0.100034333812226,"Y",TRUE,0.100034333812226,FALSE
1618,"N",0.0331895259719774,"N",FALSE,0.0331895259719774,TRUE
1631,"N",0.100712933474356,"Y",TRUE,0.100712933474356,FALSE
1633,"N",0.104839651327962,"Y",TRUE,0.104839651327962,FALSE
1643,"N",0.102288427907088,"Y",TRUE,0.102288427907088,FALSE
1646,"N",0.0322810824320527,"N",FALSE,0.0322810824320527,TRUE
1659,"N",0.108201714746023,"Y",TRUE,0.108201714746023,FALSE
1665,"N",0.0832294985799521,"N",FALSE,0.0832294985799521,TRUE
1669,"N",0.0644685269552811,"N",FALSE,0.0644685269552811,TRUE
