"UniqueID","Popular.fctr","Popular.fctr.All.X..rcv.glmnet.prob","Popular.fctr.All.X..rcv.glmnet","Popular.fctr.All.X..rcv.glmnet.err","Popular.fctr.All.X..rcv.glmnet.err.abs","Popular.fctr.All.X..rcv.glmnet.is.acc"
38,"N",0.125289102230035,"Y",TRUE,0.125289102230035,FALSE
150,"N",0.0783641999099741,"N",FALSE,0.0783641999099741,TRUE
183,"N",0.0270308041207916,"N",FALSE,0.0270308041207916,TRUE
194,"N",0.12115485109461,"Y",TRUE,0.12115485109461,FALSE
233,"N",0.0961669327853266,"N",FALSE,0.0961669327853266,TRUE
346,"N",0.0857280696462382,"N",FALSE,0.0857280696462382,TRUE
526,"N",0.0279779136716201,"N",FALSE,0.0279779136716201,TRUE
819,"N",0.0240084989868531,"N",FALSE,0.0240084989868531,TRUE
849,"N",0.0226161577736008,"N",FALSE,0.0226161577736008,TRUE
850,"N",0.0425105280843894,"N",FALSE,0.0425105280843894,TRUE
867,"N",0.0255654226565904,"N",FALSE,0.0255654226565904,TRUE
946,"N",0.134741002767283,"Y",TRUE,0.134741002767283,FALSE
962,"N",0.121778010676714,"Y",TRUE,0.121778010676714,FALSE
995,"N",0.0355966456605921,"N",FALSE,0.0355966456605921,TRUE
1048,"N",0.0831031050859251,"N",FALSE,0.0831031050859251,TRUE
1127,"N",0.102422140641787,"Y",TRUE,0.102422140641787,FALSE
1129,"N",0.0278918229501886,"N",FALSE,0.0278918229501886,TRUE
1177,"N",0.145899365093537,"Y",TRUE,0.145899365093537,FALSE
1355,"N",0.118550300246199,"Y",TRUE,0.118550300246199,FALSE
1459,"N",0.0445897761585954,"N",FALSE,0.0445897761585954,TRUE
1461,"N",0.0365601844817749,"N",FALSE,0.0365601844817749,TRUE
1463,"N",0.0382327203111378,"N",FALSE,0.0382327203111378,TRUE
1490,"N",0.0312532738632971,"N",FALSE,0.0312532738632971,TRUE
1499,"N",0.0266862658642213,"N",FALSE,0.0266862658642213,TRUE
1511,"N",0.0178774818060144,"N",FALSE,0.0178774818060144,TRUE
1530,"N",0.0220910830196549,"N",FALSE,0.0220910830196549,TRUE
1533,"N",0.0303038080876143,"N",FALSE,0.0303038080876143,TRUE
1551,"N",0.028666677987513,"N",FALSE,0.028666677987513,TRUE
1565,"N",0.0514237040582382,"N",FALSE,0.0514237040582382,TRUE
1617,"N",0.0251336690969195,"N",FALSE,0.0251336690969195,TRUE
1618,"N",0.00396122554331556,"N",FALSE,0.00396122554331556,TRUE
1631,"N",0.0328109339028651,"N",FALSE,0.0328109339028651,TRUE
1633,"N",0.0358591000018432,"N",FALSE,0.0358591000018432,TRUE
1643,"N",0.0396499207915603,"N",FALSE,0.0396499207915603,TRUE
1646,"N",0.00481688993851554,"N",FALSE,0.00481688993851554,TRUE
1659,"N",0.0436832800664384,"N",FALSE,0.0436832800664384,TRUE
1665,"N",0.0279779136716201,"N",FALSE,0.0279779136716201,TRUE
1669,"N",0.0163732539740718,"N",FALSE,0.0163732539740718,TRUE
